feature,importance
velocity_6h,0.5891601
velocity_24h,0.23052467
velocity_7d,0.16094206
days_since_acct_open_log,0.009683117
shared_ip_accounts_log,0.008139746
distinct_bene_24h,0.0014120559
behavioural_drift_score,0.000100402314
ip_reputation_score,3.788865e-05
amount_sum_1h_log,0.0
amount_zscore,0.0
ctr_proximity,0.0
amount_sum_24h_log,0.0
amount_inr_log,0.0
amount_usd_equiv_log,0.0
distinct_bene_6h,0.0
amount_per_tx_1h,0.0
velocity_ratio_1h_24h,0.0
velocity_1h,0.0
is_month_end,0.0
hour_of_day,0.0
is_weekend,0.0
day_of_week,0.0
channel_CARD_CNP,0.0
channel_WIRE,0.0
is_international,0.0
channel_CRYPTO,0.0
geo_distance_km_log,0.0
channel_IMPS,0.0
channel_UPI,0.0
is_nighttime,0.0
failed_auth_count_7d,0.0
is_tor_vpn_proxy,0.0
geo_country_mismatch,0.0
velocity_vs_baseline,0.0
is_dormant_account,0.0
is_new_beneficiary,0.0
peer_amount_percentile,0.0
distinct_devices_30d,0.0
watchlist_hit,0.0
shared_device_accounts_log,0.0
beneficiary_sar_count,0.0
second_hop_sar_count,0.0
mule_network_probability,0.0
synthetic_identity_score,0.0
rapid_fan_out_flag,0.0
originator_graph_centrality,0.0
